StockCode,product_clusters,tsne_1,tsne_2,median_unit_price,mode_description
17174,1,18.386234,-12.064031,0.42,ASSTD RASTA KEY-CHAINS
17191A,1,10.019388,49.56105,3.75,ROSE FLOWER CANDLE+INCENSE 16X16CM
18007,1,-58.401512,-16.836388,0.3,ESSENTIAL BALM 3.5g TIN IN ENVELOPE
18094C,1,18.42391,4.3579483,1.855,WHITE AND BLUE CERAMIC OIL BURNER
18097A,4,-9.446499,32.940945,2.55,PINK TALL PORCELAIN T-LIGHT HOLDER 
18097C,4,-9.439171,32.947296,3.755,WHITE TALL PORCELAIN T-LIGHT HOLDER
18098C,1,-52.63462,22.217958,2.95,PORCELAIN BUTTERFLY OIL BURNER
18098c,1,-52.75647,22.23039,5.06,PORCELAIN BUTTERFLY OIL BURNER
20615,1,-9.690763,-37.441246,1.88,BLUE POLKADOT PASSPORT COVER
20616,1,-10.988869,-37.452007,1.88,CHERRY BLOSSOM PASSPORT COVER
20617,1,-10.974628,-37.49318,1.69,FIRST CLASS PASSPORT COVER 
20618,1,-10.990097,-37.452824,1.895,QUEEN OF THE SKIES PASSPORT COVER 
20619,1,-10.974628,-37.49318,1.69,TROPICAL PASSPORT COVER 
20622,1,-10.990097,-37.452824,1.895,VIPPASSPORT COVER 
20652,1,43.374695,-20.86868,1.25,BLUE POLKADOT LUGGAGE TAG 
20653,1,10.425518,-20.765379,1.25,CHERRY BLOSSOM LUGGAGE TAG
20654,1,8.998076,-16.086817,1.06,FIRST CLASS LUGGAGE TAG 
20655,1,9.210124,-17.736967,1.155,QUEEN OF SKIES LUGGAGE TAG
20657,1,10.425378,-20.72013,1.25,TROPICAL LUGGAGE TAG
20658,1,40.394054,5.8986692,2.46,RED RETROSPOT LUGGAGE TAG
20659,1,9.212,-17.736887,1.155,ECONOMY LUGGAGE TAG
20661,1,43.034035,-21.067474,2.95,BLUE POLKADOT PURSE 
20662,1,-21.451017,-10.704635,2.73,FIRST CLASS HOLIDAY PURSE 
20663,1,-21.451214,-10.704611,2.73,QUEEN OF THE SKIES HOLIDAY PURSE 
20664,1,-21.43643,-10.909987,2.705,TROPICAL HOLIDAY PURSE 
20665,1,40.551514,5.2962074,2.95,RED RETROSPOT PURSE 
20666,1,-7.0886188,-27.789215,2.46,ECONOMY HOLIDAY PURSE
20667,1,-21.436821,-10.910212,2.705,CHERRY BLOSSOM PURSE
20668,1,-0.5089244,9.420819,0.27,DISCO BALL CHRISTMAS DECORATION
20669,4,-15.490094,13.420271,1.855,RED HEART LUGGAGE TAG
20670,1,-21.308828,-7.4384155,2.95,VIP HOLIDAY PURSE
20671,1,21.815533,-3.3934934,1.25,BLUE TEATIME PRINT BOWL 
20674,1,39.378235,-18.97787,1.855,GREEN POLKADOT BOWL
20675,1,39.37798,-18.977903,1.645,BLUE POLKADOT BOWL
20676,1,24.25867,-3.6190016,1.66,RED RETROSPOT BOWL
20677,1,39.377937,-18.977835,1.66,PINK POLKADOT BOWL
20678,1,-26.403637,41.79463,1.65,LARGE BLACK DIAMANTE HAIRSLIDE
20679,1,-16.606874,-19.858545,5.95,EDWARDIAN PARASOL RED
20681,1,48.143406,-5.677933,6.63,PINK POLKADOT CHILDRENS UMBRELLA
20682,1,48.447273,-4.932263,4.9399999999999995,RED RETROSPOT CHILDRENS UMBRELLA
20684,1,-14.598677,-17.466785,5.01,STRAWBERRY DREAM CHILDS UMBRELLA
20685,1,41.30494,5.55086,8.25,DOORMAT RED RETROSPOT
20686,1,50.425743,-4.6828218,6.63,DOLLY MIXTURE CHILDREN'S UMBRELLA
20694,1,-20.01337,-23.729958,7.46,FLORAL PINK MONSTER
20695,1,-13.027376,-13.057978,4.25,FLORAL BLUE MONSTER
20696,1,-13.661148,-9.252039,3.75,FLORAL SOFT CAR TOY
20697,1,-9.009377,-24.222332,2.55,LITTLE GREEN MONSTER SOFT TOY
20698,1,-9.301532,-24.784063,2.55,LITTLE PINK MONSTER SOFT TOY
20699,1,-8.770222,-25.102932,2.53,MOUSEY LONG LEGS SOFT TOY
20700,1,-2.871718,-67.72905,7.045,GREEN CAT FLORAL CUSHION COVER 
20701,1,-3.695353,-67.233986,3.94,PINK CAT FLORAL CUSHION COVER 
20702,1,-16.8675,-20.596869,6.27,PINK PADDED MOBILE
20703,1,-12.554065,-13.0988245,4.25,BLUE PADDED SOFT MOBILE
20704,1,-29.211218,-25.267859,10.540000000000001,MR ROBOT SOFT TOY
20705,1,-13.107398,-14.743952,4.45,MRS ROBOT SOFT TOY
20707,4,-4.785582,9.762234,1.25,CRAZY DAISY HEART DECORATION
20711,1,42.86031,33.55633,2.015,JUMBO BAG TOYS 
20712,1,42.86031,33.55633,2.015,JUMBO BAG WOODLAND ANIMALS
20713,1,42.730988,34.294243,1.87,JUMBO BAG OWLS
20716,1,56.36521,-14.111504,1.25,PARTY FOOD SHOPPER BAG
20717,1,41.942127,33.66213,1.25,STRAWBERRY SHOPPER BAG
20718,1,41.83983,9.066787,2.485,RED RETROSPOT SHOPPER BAG
20719,1,42.330997,33.542774,1.66,WOODLAND CHARLOTTE BAG
20723,1,42.339752,33.9434,1.645,STRAWBERRY CHARLOTTE BAG
20724,1,41.83201,9.05361,1.805,RED RETROSPOT CHARLOTTE BAG
20725,1,41.854656,9.093622,4.13,LUNCH BAG RED RETROSPOT
20726,1,44.298378,34.108685,4.21,LUNCH BAG WOODLAND
20727,1,57.772682,12.601926,4.21,LUNCH BAG  BLACK SKULL.
20728,1,44.255432,33.525906,4.17,LUNCH BAG CARS BLUE
20731,1,41.75623,33.670284,1.04,POSY CANDY BAG
20733,0,-25.51175,29.91084,0.84,GOLD MINI TAPE MEASURE 
20734,1,18.246803,38.55186,1.66,SILVER MINI TAPE MEASURE 
20735,1,19.382393,39.442593,1.24,BLACK MINI TAPE MEASURE 
20748,1,28.323643,20.522085,18.855,KENSINGTON COFFEE SET
20749,1,25.624983,-22.332708,12.29,ASSORTED COLOUR MINI CASES
20750,1,20.666338,38.915115,12.29,RED RETROSPOT MINI CASES
20751,1,20.83101,-26.322414,3.115,FUNKY WASHING UP GLOVES ASSORTED
20752,1,42.93839,-20.570314,3.295,BLUE POLKADOT WASHING UP GLOVES
20754,1,40.59925,5.302343,3.115,RETROSPOT RED WASHING UP GLOVES
20755,1,54.53789,28.945103,1.63,BLUE PAISLEY POCKET BOOK
20756,1,8.649514,-10.828104,0.85,GREEN FERN POCKET BOOK
20757,1,9.336246,-20.16644,1.24,RED DAISY POCKET BOOK 
20758,1,8.448225,-9.978599,0.85,ABSTRACT CIRCLES POCKET BOOK
20759,1,8.332232,-10.528548,0.85,CHRYSANTHEMUM POCKET BOOK 
20760,3,8.123412,-42.558968,0.85,GARDEN PATH POCKET BOOK
20761,1,54.539505,28.983994,7.46,BLUE PAISLEY SKETCHBOOK
20762,1,-20.009104,-23.727282,7.46,GREEN FERN SKETCHBOOK 
20763,1,-15.741943,-19.336998,5.605,DAISY SKETCHBOOK 
20764,1,-19.988922,-23.758732,7.46,ABSTRACT CIRCLES SKETCHBOOK 
20765,1,-20.00727,-23.729504,7.46,CHRYSANTHEMUM SKETCHBOOK 
20766,3,7.153306,-42.928852,5.605,GARDEN PATH SKETCHBOOK
20767,1,54.539665,28.95697,2.55,BLUE PAISLEY JOURNAL 
20768,1,-8.719886,-24.491127,2.55,GREEN FERN JOURNAL 
20769,1,-9.286301,-24.357595,2.55,DAISY JOURNAL 
20770,1,-8.152818,-26.980421,2.485,ABSTRACT CIRCLE JOURNAL 
20771,1,-8.720061,-24.480865,2.55,CHRYSANTHEMUM  JOURNAL
20772,3,7.463373,-42.580082,2.55,GARDEN PATH JOURNAL
20773,1,39.54678,-43.384087,1.65,BLUE PAISLEY NOTEBOOK
20774,1,38.86286,-41.906136,1.64,GREEN FERN NOTEBOOK
20775,1,38.862976,-41.90635,1.65,DAISY NOTEBOOK 
20777,1,38.87188,-41.921093,2.4699999999999998,CHRYSANTHEMUM NOTEBOOK
20778,3,38.86619,-42.954082,1.65,GARDEN PATH NOTEBOOK 
20780,1,-37.52242,28.105232,8.14,BLACK EAR MUFF HEADPHONES
20781,0,-28.76547,29.207008,8.14,GOLD EAR MUFF HEADPHONES
20782,1,-37.52242,28.105232,8.14,CAMOUFLAGE EAR MUFF HEADPHONES
20785,1,-34.06526,-23.449944,37.95,FUSCHIA RETRO BAR STOOL
20793,1,10.111094,-57.78781,6.75,BLUE TILED TRAY
20794,1,6.39725,-54.211464,3.755,BLUE  TILE HOOK
20795,1,18.521763,4.0353994,3.115,LARGE BLUE PROVENCAL CERAMIC BALL
20796,1,17.787996,3.8989596,2.4699999999999998,SMALL BLUE PROVENCAL CERAMIC BALL
20798,1,-18.65563,24.26271,1.875,CLEAR MILKSHAKE GLASS
20801,1,-22.504622,7.671806,2.51,LARGE PINK GLASS SUNDAE DISH
20802,1,-14.040649,21.595404,1.65,SMALL GLASS SUNDAE DISH CLEAR
20803,1,-14.040649,21.595404,1.65,SMALL PINK GLASS SUNDAE DISH
20816,0,-1.4694319,-67.06143,1.95,GOLD FLOWER CUSHION COVER 
20818,0,-26.798351,29.960415,5.605,GOLD TEDDY BEAR
20819,1,-13.910876,40.85252,3.13,SILVER TEDDY BEAR
20820,1,-58.711155,10.522683,4.95,SILVER LOOKING MIRROR
20821,1,-57.077026,8.866932,4.95,GOLDIE LOOKING MIRROR
20823,0,-26.725737,29.95541,0.79,GOLD WINE GOBLET
20826,1,-14.500757,39.845757,1.2550000000000001,SILVER APERITIF GLASS
20827,0,-26.171276,29.35546,0.39,GOLD APERITIF GLASS
20828,1,-52.692905,22.225735,3.755,GLITTER BUTTERFLY CLIPS
20829,4,-53.264328,23.264967,3.115,GLITTER HANGING BUTTERFLY STRING
20830,1,-43.851654,-34.70659,4.13,SILVER PHOTO FRAME
20831,0,-44.551838,-36.980072,2.1,GOLD PHOTO FRAME
20832,4,-45.46284,-36.07871,0.81,RED FLOCK LOVE HEART PHOTO FRAME
20835,1,-6.933735,-68.0397,5.925,FRENCH LATTICE CUSHION COVER 
20836,1,-6.959728,-66.969284,0.83,FRENCH PAISLEY CUSHION COVER
20837,1,-6.933714,-68.03624,1.8900000000000001,FRENCH FLORAL CUSHION COVER 
20838,1,-6.933754,-68.03642,2.07,FRENCH LATTICE CUSHION COVER 
20839,1,-6.9534483,-66.97003,3.29,FRENCH PAISLEY CUSHION COVER 
20840,1,-6.9337964,-68.037506,3.29,FRENCH FLORAL CUSHION COVER 
20845,4,-14.654091,4.3711133,6.35,ZINC HEART LATTICE 2 WALL PLANTER
20846,4,-8.726615,27.321928,1.855,ZINC HEART LATTICE T-LIGHT HOLDER
20847,4,-14.964921,3.4646108,7.46,ZINC HEART LATTICE CHARGER LARGE
20848,4,-13.830986,3.9607823,2.95,ZINC HEART LATTICE CHARGER SMALL
20851,4,16.071087,-62.146202,5.95,ZINC HEART LATTICE TRAY OVAL 
20854,4,-16.045204,13.853712,1.65,BLUE PATCH PURSE PINK HEART
20856,1,-52.50772,22.198957,1.6549999999999998,DENIM PATCH PURSE PINK BUTTERFLY
20857,1,9.776562,51.368458,1.65,BLUE ROSE PATCH PURSE PINK BUTTERFL
20860,0,-51.187088,24.47572,2.1,GOLD COSMETICS BAG WITH BUTTERFLY
20861,0,-26.724771,31.545538,2.1,GOLD COSMETIC BAG PINK STAR
20866,1,-58.53132,7.617888,1.155,BLUE ROSE FABRIC MIRROR
20867,1,-58.53144,7.617894,1.155,PINK ROSE FABRIC MIRROR
20868,1,-58.714314,10.528145,0.85,SILVER FABRIC MIRROR
20869,0,-27.749035,29.494404,0.85,GOLD FABRIC MIRROR
20871,1,-3.5199997,49.673347,4.21,OPULENT VELVET SET/3 CANDLES
20878,4,-3.2994778,37.015404,1.25,SET/9 CHRISTMAS T-LIGHTS SCENTED 
20886,1,0.046095163,57.647778,3.04,BOX OF 9 PEBBLE CANDLES
20892,4,-7.5933714,44.39503,19.119999999999997,SET/3 TALL GLASS CANDLE HOLDER PINK
20893,4,-11.71841,30.93615,3.755,HANGING BAUBLE T-LIGHT HOLDER SMALL
20894,4,-11.968551,30.611673,4.37,HANGING BAUBLE T-LIGHT HOLDER LARGE
20897,1,39.60129,-42.028973,2.75,VINTAGE NOTEBOOK PARIS DAYS
20898,1,39.600994,-42.028767,2.705,VINTAGE NOTEBOOK TRAVELOGUE
20901,1,12.437617,26.267576,5.24,VINTAGE KEEPSAKE BOX PINK FLOWER
20902,1,12.060188,26.589226,6.35,VINTAGE KEEPSAKE BOX PARIS DAYS
20903,1,12.060612,26.594393,9.405000000000001,VINTAGE KEEPSAKE BOX TRAVELOGUE
20906,1,40.65502,-41.84539,2.95,VINTAGE NOTEBOOK BEAUTY GIRL
20910,1,-40.486977,-35.43022,6.35,VINTAGE PHOTO ALBUM PARIS DAYS
20914,1,24.411871,-3.6759462,2.95,SET/5 RED RETROSPOT LID GLASS BOWLS
20931,1,-5.8543205,47.919052,3.75,BLUE POT PLANT CANDLE 
20932,1,-5.8543205,47.919052,3.75,PINK POT PLANT CANDLE
20933,1,-5.7983932,47.675068,3.35,YELLOW POT PLANT CANDLE
20934,1,-3.566808,49.680294,8.12,SET/3 POT PLANT CANDLES
20935,1,-65.09498,-1.5273243,2.95,ROUND CACTUS CANDLE
20936,1,-4.817749,47.805138,2.95,FORKED CACTUS CANDLE
20941,1,-4.936578,47.077724,1.88,FROG CANDLE
20954,1,-57.0209,8.699453,8.47,*USB Office Mirror Ball
20956,4,21.749395,-24.092625,2.46,PORCELAIN T-LIGHT HOLDERS ASSORTED
20957,4,-4.0920224,17.409925,1.45,PORCELAIN HANGING BELL SMALL
20960,1,-7.6728263,-26.788738,2.485,WATERMELON BATH SPONGE
20961,1,-7.9734282,-28.209078,2.46,STRAWBERRY BATH SPONGE 
20963,1,-7.108701,-27.816477,2.46,APPLE BATH SPONGE
20964,1,-9.297542,-24.779457,2.55,POLYESTER FILLER PAD 60x40cm
20966,1,-0.9359121,-33.49266,1.855,SANDWICH BATH SPONGE
20967,1,45.151596,33.734203,7.46,GREY FLORAL FELTCRAFT SHOULDER BAG
20969,1,44.142353,34.138844,3.94,RED FLORAL FELTCRAFT SHOULDER BAG
20970,1,44.830338,33.89704,5.605,PINK FLORAL FELTCRAFT SHOULDER BAG
20971,1,-41.902866,-10.261111,2.46,PINK BLUE FELT CRAFT TRINKET BOX
20972,1,-41.7324,-10.820964,1.855,PINK CREAM FELT CRAFT TRINKET BOX 
20973,1,-11.411873,20.36408,1.25,12 PENCIL SMALL TUBE WOODLAND
20974,1,56.41373,13.868845,0.95,12 PENCILS SMALL TUBE SKULL
20975,1,39.72947,2.14767,0.95,12 PENCILS SMALL TUBE RED RETROSPOT
20977,1,-0.93201154,-33.491177,1.855,36 PENCILS TUBE WOODLAND
20978,1,56.935566,12.7834635,1.25,36 PENCILS TUBE SKULLS
20979,1,40.199642,5.5957456,1.855,36 PENCILS TUBE RED RETROSPOT
20980,1,8.966333,-15.790208,1.04,36 PENCILS TUBE POSY
20981,1,4.720477,-30.616001,1.63,12 PENCILS TALL TUBE WOODLAND
20982,1,56.93479,12.783254,1.135,12 PENCILS TALL TUBE SKULLS
20983,1,39.92561,5.599448,0.85,12 PENCILS TALL TUBE RED RETROSPOT
20984,1,8.439872,-9.982928,0.85,12 PENCILS TALL TUBE POSY
20985,4,-15.490094,13.420271,1.855,HEART CALCULATOR
20986,1,9.692743,-20.827065,1.25,BLUE CALCULATOR RULER
20992,4,38.73336,-41.60758,0.84,JAZZ HEARTS PURSE NOTEBOOK
20996,4,-15.571887,14.132317,0.83,JAZZ HEARTS ADDRESS BOOK
20997,1,-2.099477,-69.10185,4.54,ROSE DU SUD CUSHION COVER 
20998,1,10.312934,51.119587,3.29,ROSE DU SUD OVEN GLOVE
21000,1,13.72346,51.698875,3.36,ROSE DU SUD COSMETICS BAG
21001,1,10.702427,51.16577,4.21,ROSE DU SUD WASHBAG 
21002,1,13.72346,51.698875,3.36,ROSE DU SUD DRAWSTRING BAG
21003,1,-2.0968819,-69.100555,6.07,ROSE DU SUD CUSHION COVER
21009,4,4.507203,15.067957,1.25,ETCHED GLASS STAR TREE DECORATION
21011,1,5.754121,16.906193,1.45,GLITTER SNOW PEAR TREE DECORATION
21012,1,-26.952843,21.36939,2.2800000000000002,ANTIQUE ALL GLASS CANDLESTICK
21014,1,5.751485,16.90139,0.85,SWISS CHALET TREE DECORATION 
21015,4,9.702305,5.9819202,0.85,DARK BIRD HOUSE TREE DECORATION
21018,4,9.607247,6.2502327,1.68,BIRD BOX CHRISTMAS TREE DECORATION
21025,1,9.211591,-17.736954,1.155,SPACE FROG
21026,1,9.210086,-17.737263,1.155,SPACE OWL
21027,1,8.99809,-16.08676,1.06,NINJA RABBIT PINK
21028,1,9.21122,-17.73754,1.155,NINJA RABBIT BLACK
21030,1,8.98,-15.930189,1.05,SPACE CADET RED
21031,1,10.424331,-20.855387,1.25,SPACE CADET BLACK
21032,1,8.980109,-15.931018,1.05,SPACE CADET WHITE
21033,1,43.449703,33.58331,2.73,JUMBO BAG CHARLIE AND LOLA TOYS
21034,1,8.836584,-14.086692,0.95,REX CASH+CARRY JUMBO SHOPPER
21035,1,39.373055,-10.791369,5.79,SET/2 RED RETROSPOT TEA TOWELS 
21038,1,17.361921,18.387287,1.87,SET/4 MODERN VINTAGE COTTON NAPKINS
21039,1,41.85497,9.094208,4.17,RED RETROSPOT SHOPPING BAG
21040,1,43.314823,38.42885,1.67,MODERN VINTAGE COTTON SHOPPING BAG
21041,1,40.99046,5.96666,5.85,RED RETROSPOT OVEN GLOVE DOUBLE
21042,1,41.321823,5.8984604,9.205,RED RETROSPOT APRON 
21043,1,14.753033,16.782312,4.17,APRON MODERN VINTAGE COTTON
21051,1,-18.069118,-80.80212,2.1,RIBBONS PURSE 
21054,1,45.550667,33.440254,12.965,NURSE'S BAG SOFT TOY
21055,1,12.012121,29.75874,9.95,TOOL BOX SOFT TOY 
21056,1,45.353756,33.557922,9.45,DOCTOR'S BAG SOFT TOY
21058,1,56.71055,-15.149244,0.85,PARTY INVITES WOODLAND
21059,1,56.71055,-15.149244,0.85,PARTY INVITES DINOSAURS
21060,1,55.504692,-11.911954,0.85,PARTY INVITES BALLOON GIRL
21061,1,56.71055,-15.149244,0.85,PARTY INVITES FOOTBALL
21062,1,56.71055,-15.149244,0.85,PARTY INVITES SPACEMAN
21063,4,56.323265,-15.3105135,1.24,PARTY INVITES JAZZ HEARTS
21064,1,11.902284,30.38246,5.95,BOOM BOX SPEAKER BOYS
21065,1,52.399597,1.9889657,4.13,BOOM BOX SPEAKER GIRLS
21066,1,51.49163,-25.701159,1.25,VINTAGE RED MUG
21067,1,51.484936,-25.703339,1.855,VINTAGE RED TEATIME MUG
21068,1,51.49163,-25.701159,1.25,VINTAGE BILLBOARD LOVE/HATE MUG
21069,1,50.699986,-23.53441,1.855,VINTAGE BILLBOARD TEA MUG
